TOKENS 	 	 LEXEMES 
---------------------------
keyword 	 'int' 
keyword 	 'main' 
separator 	 '(' 
separator 	 ')' 
separator 	 '{' 
keyword 	 'for' 
separator 	 '(' 
keyword 	 'int' 
identifier 	 'i' 
operator 	 '=' 
integer 	 '22' 
punctuation 	 ';' 
identifier 	 'i' 
operator 	 '<=' 
integer 	 '100' 
punctuation 	 ';' 
identifier 	 'i' 
operator 	 '=' 
identifier 	 'i' 
operator 	 '+' 
integer 	 '1' 
separator 	 ')' 
separator 	 '{' 
keyword 	 'while' 
separator 	 '(' 
identifier 	 'i' 
operator 	 '==' 
integer 	 '100' 
separator 	 ')' 
separator 	 '{' 
keyword 	 'cout' 
punctuation 	 ';' 
separator 	 '}' 
separator 	 '}' 
keyword 	 'return' 
integer 	 '0' 
punctuation 	 ';' 
separator 	 '}' 
